cost,datetime,category
3.01,1/6/2023,Electronics
0.49,3/17/2023,Cosmetic
7.64,7/3/2023,Electronics
2.17,10/1/2023,Cosmetic
5.42,6/13/2023,Market
0.36,5/26/2023,Restaurant
19.49,6/25/2023,Travel
0.31,3/6/2023,Restaurant
2.01,6/3/2023,Cosmetic
10.33,4/5/2023,Electronics
0.82,1/24/2023,Market
9.83,7/21/2023,Electronics
1.54,1/12/2023,Cosmetic
21.35,8/8/2023,Travel
17.37,8/6/2023,Travel
0.06,4/17/2023,Market
0.40,5/27/2023,Restaurant
8.36,10/6/2023,Electronics
3.99,10/11/2023,Electronics
0.75,3/11/2023,Cosmetic
0.67,5/12/2023,Clothing
1.35,2/5/2023,Cosmetic
0.15,2/19/2023,Restaurant
0.22,6/22/2023,Restaurant
9.05,8/24/2023,Electronics
11.26,8/6/2023,Electronics
1.76,5/24/2023,Cosmetic
1.73,1/3/2023,Cosmetic
1.42,3/14/2023,Market
3.89,7/24/2023,Market
1.32,9/14/2023,Cosmetic
2.23,9/16/2023,Cosmetic
1.87,7/21/2023,Cosmetic
0.85,6/6/2023,Restaurant
3.08,1/26/2023,Electronics
29.17,2/12/2023,Travel
3.19,7/30/2023,Clothing
0.15,7/3/2023,Cosmetic
27.10,3/5/2023,Travel
1.81,9/11/2023,Cosmetic
1.93,4/25/2023,Market
0.55,6/12/2023,Market
10.65,7/31/2023,Electronics
3.58,8/16/2023,Market
1.43,8/13/2023,Market
29.76,1/22/2023,Travel
1.24,10/6/2023,Market
13.89,3/1/2023,Travel
4.01,9/19/2023,Market
1.17,8/12/2023,Restaurant
2.48,5/13/2023,Market
8.53,3/25/2023,Electronics
0.29,7/31/2023,Restaurant
1.51,2/7/2023,Market
0.43,4/3/2023,Restaurant
0.34,7/8/2023,Cosmetic
2.10,2/10/2023,Cosmetic
0.41,4/12/2023,Cosmetic
31.48,9/10/2023,Travel
2.22,3/8/2023,Cosmetic
1.15,4/13/2023,Restaurant
2.38,5/13/2023,Market
1.89,2/5/2023,Clothing
3.35,8/7/2023,Clothing
0.69,6/3/2023,Cosmetic
2.95,6/9/2023,Market
34.53,10/12/2023,Travel
1.10,7/17/2023,Restaurant
19.73,7/25/2023,Travel
1.59,4/18/2023,Clothing
5.50,2/2/2023,Electronics
0.87,7/7/2023,Restaurant
4.70,1/26/2023,Market
2.38,4/22/2023,Market
2.18,10/5/2023,Cosmetic
1.82,9/19/2023,Travel
3.18,1/24/2023,Market
0.73,1/3/2023,Clothing
1.38,6/15/2023,Cosmetic
9.91,1/12/2023,Electronics
2.84,4/8/2023,Electronics
22.76,8/7/2023,Travel
30.99,2/5/2023,Travel
4.67,2/27/2023,Electronics
0.95,1/1/2023,Cosmetic
1.99,4/10/2023,Market
5.00,3/13/2023,Electronics
32.94,8/30/2023,Travel
0.69,5/6/2023,Cosmetic
0.39,8/24/2023,Market
2.29,8/15/2023,Clothing
0.75,4/16/2023,Clothing
0.75,9/21/2023,Cosmetic
2.49,9/21/2023,Clothing
0.79,8/15/2023,Restaurant
1.18,3/18/2023,Travel
1.06,6/27/2023,Clothing
8.69,6/22/2023,Electronics
1.01,6/12/2023,Clothing
1.15,9/7/2023,Restaurant
1.22,2/17/2023,Cosmetic
17.52,1/8/2023,Travel
1.02,5/29/2023,Restaurant
2.40,5/10/2023,Electronics
26.30,2/6/2023,Travel
26.80,9/22/2023,Travel
3.01,5/4/2023,Clothing
15.21,7/13/2023,Travel
1.01,5/13/2023,Clothing
0.91,5/21/2023,Clothing
1.06,1/26/2023,Restaurant
30.06,1/12/2023,Travel
8.40,2/23/2023,Electronics
0.80,3/21/2023,Restaurant
26.55,3/23/2023,Travel
11.57,4/7/2023,Travel
0.93,6/4/2023,Clothing
1.57,2/21/2023,Travel
10.35,10/4/2023,Electronics
9.70,8/7/2023,Electronics
0.58,2/22/2023,Market
1.63,5/10/2023,Electronics
1.22,8/31/2023,Clothing
4.33,4/2/2023,Market
25.71,9/11/2023,Travel
24.44,10/5/2023,Travel
0.91,7/18/2023,Restaurant
5.32,9/15/2023,Market
1.14,9/19/2023,Restaurant
3.88,2/26/2023,Electronics
24.60,1/13/2023,Travel
0.25,7/26/2023,Clothing
7.02,3/12/2023,Travel
0.20,6/10/2023,Restaurant
15.51,1/17/2023,Travel
28.80,7/6/2023,Travel
29.50,9/5/2023,Travel
2.25,8/12/2023,Clothing
3.97,1/9/2023,Electronics
14.03,8/18/2023,Travel
0.45,6/29/2023,Restaurant
0.41,5/3/2023,Cosmetic
6.47,8/10/2023,Electronics
5.34,8/14/2023,Market
4.60,4/13/2023,Travel
5.51,5/30/2023,Travel
19.07,4/8/2023,Travel
4.68,8/6/2023,Travel
5.08,4/17/2023,Market
1.60,3/5/2023,Electronics
4.99,1/12/2023,Market
18.41,9/20/2023,Travel
1.99,1/20/2023,Cosmetic
1.36,8/23/2023,Clothing
0.67,4/3/2023,Cosmetic
9.99,5/30/2023,Travel
20.73,9/21/2023,Travel
0.30,5/11/2023,Restaurant
0.75,4/16/2023,Restaurant
9.20,1/22/2023,Electronics
1.37,7/10/2023,Cosmetic
1.18,9/24/2023,Market
21.83,7/5/2023,Travel
1.50,7/7/2023,Clothing
2.52,9/13/2023,Clothing
2.29,7/16/2023,Electronics
1.23,1/9/2023,Clothing
2.05,3/23/2023,Clothing
2.33,8/17/2023,Clothing
1.59,2/6/2023,Cosmetic
11.22,4/8/2023,Electronics
0.33,7/5/2023,Cosmetic
0.13,3/8/2023,Cosmetic
0.61,8/6/2023,Clothing
2.84,2/24/2023,Clothing
0.63,10/4/2023,Market
0.79,7/3/2023,Restaurant
2.65,8/1/2023,Market
0.45,6/11/2023,Restaurant
9.11,9/8/2023,Electronics
2.84,1/29/2023,Market
0.51,5/27/2023,Restaurant
27.85,6/16/2023,Travel
4.06,1/2/2023,Market
12.39,3/23/2023,Travel
0.27,9/6/2023,Restaurant
22.26,2/24/2023,Travel
0.31,6/30/2023,Cosmetic
33.85,7/21/2023,Travel
6.28,4/11/2023,Electronics
5.03,4/26/2023,Market
1.70,7/1/2023,Market
5.95,3/13/2023,Electronics
2.03,6/22/2023,Electronics
0.43,3/22/2023,Restaurant
3.78,8/22/2023,Travel
0.21,2/12/2023,Restaurant
3.75,5/4/2023,Electronics
11.20,9/14/2023,Electronics
4.46,9/2/2023,Electronics
2.90,6/23/2023,Clothing
0.61,1/11/2023,Cosmetic
0.89,8/1/2023,Restaurant
0.77,9/29/2023,Cosmetic
1.75,1/29/2023,Clothing
1.81,8/16/2023,Clothing
6.55,7/23/2023,Travel
1.34,4/3/2023,Market
1.57,4/20/2023,Market
27.60,7/18/2023,Travel
2.12,8/13/2023,Cosmetic
4.01,10/10/2023,Market
1.38,1/23/2023,Clothing
0.89,5/26/2023,Restaurant
0.32,7/9/2023,Restaurant
11.02,7/27/2023,Electronics
0.47,1/28/2023,Market
1.25,7/9/2023,Market
5.43,4/20/2023,Market
0.43,9/9/2023,Restaurant
11.60,10/2/2023,Electronics
1.11,10/11/2023,Restaurant
0.72,9/10/2023,Clothing
7.93,4/2/2023,Electronics
1.24,7/7/2023,Cosmetic
3.14,5/25/2023,Clothing
5.44,2/23/2023,Market
2.80,10/10/2023,Clothing
4.42,3/4/2023,Electronics
10.19,6/29/2023,Travel
5.94,2/26/2023,Electronics
2.16,4/20/2023,Clothing
6.87,8/5/2023,Electronics
5.42,8/26/2023,Market
3.45,2/15/2023,Clothing
0.27,1/29/2023,Restaurant
0.61,2/17/2023,Electronics
0.26,2/9/2023,Restaurant
4.31,3/25/2023,Market
0.85,10/7/2023,Restaurant
5.17,2/14/2023,Market
0.96,2/9/2023,Restaurant
17.68,5/18/2023,Travel
0.15,1/22/2023,Restaurant
19.80,2/9/2023,Travel
28.53,8/17/2023,Travel
0.34,2/12/2023,Restaurant
28.34,3/15/2023,Travel
1.79,1/30/2023,Cosmetic
0.58,6/12/2023,Cosmetic
1.95,8/2/2023,Cosmetic
4.12,2/5/2023,Electronics
20.00,5/22/2023,Travel
0.77,9/20/2023,Restaurant
5.38,10/2/2023,Travel
3.28,7/16/2023,Market
0.80,2/4/2023,Restaurant
12.69,10/6/2023,Travel
1.23,4/9/2023,Cosmetic
0.37,1/7/2023,Cosmetic
1.77,2/23/2023,Clothing
10.58,9/15/2023,Electronics
2.05,1/22/2023,Cosmetic
0.83,9/4/2023,Clothing
1.01,3/14/2023,Cosmetic
1.12,9/1/2023,Restaurant
10.64,1/3/2023,Travel
10.50,2/27/2023,Electronics
2.73,7/17/2023,Clothing
30.23,3/28/2023,Travel
5.97,4/10/2023,Electronics
0.73,5/24/2023,Market
2.73,1/7/2023,Electronics
1.96,3/11/2023,Clothing
2.58,3/23/2023,Clothing
1.78,2/25/2023,Cosmetic
2.91,6/1/2023,Market
2.77,4/25/2023,Clothing
24.36,6/11/2023,Travel
1.01,9/24/2023,Restaurant
0.92,3/24/2023,Clothing
4.71,8/30/2023,Electronics
3.83,5/3/2023,Market
2.19,2/21/2023,Cosmetic
11.01,5/14/2023,Electronics
9.54,3/1/2023,Travel
3.73,5/7/2023,Travel
0.23,7/27/2023,Cosmetic
0.80,10/1/2023,Restaurant
1.15,6/16/2023,Electronics
7.95,1/9/2023,Electronics
0.65,6/17/2023,Market
0.94,5/31/2023,Restaurant
2.67,4/29/2023,Clothing
33.70,3/27/2023,Travel
4.70,8/29/2023,Market
11.03,9/20/2023,Travel
2.55,7/14/2023,Electronics
3.69,8/23/2023,Market
0.56,4/1/2023,Cosmetic
0.67,3/31/2023,Clothing
5.21,1/31/2023,Market
2.51,3/15/2023,Clothing
0.87,9/23/2023,Cosmetic
14.76,4/18/2023,Travel
0.74,9/25/2023,Restaurant
5.53,7/17/2023,Electronics
0.29,1/21/2023,Cosmetic
0.38,9/24/2023,Cosmetic
0.43,6/13/2023,Restaurant
4.00,3/15/2023,Market
22.92,6/21/2023,Travel
2.56,6/21/2023,Market
0.16,7/13/2023,Cosmetic
23.50,9/2/2023,Travel
1.59,9/4/2023,Electronics
1.14,7/21/2023,Restaurant
1.08,2/22/2023,Restaurant
1.49,1/24/2023,Cosmetic
3.34,9/14/2023,Clothing
14.82,7/18/2023,Travel
0.26,2/23/2023,Restaurant
0.32,8/15/2023,Restaurant
3.16,2/7/2023,Clothing
2.24,9/4/2023,Electronics
2.32,3/20/2023,Clothing
0.51,9/24/2023,Restaurant
0.74,6/14/2023,Cosmetic
21.57,8/11/2023,Travel
1.39,9/12/2023,Market
2.34,4/23/2023,Electronics
1.61,9/13/2023,Cosmetic
0.96,3/13/2023,Market
10.35,4/10/2023,Electronics
0.49,8/29/2023,Market
2.72,7/28/2023,Clothing
1.68,4/5/2023,Cosmetic
9.67,1/27/2023,Electronics
33.58,3/22/2023,Travel
1.21,2/3/2023,Clothing
2.26,6/2/2023,Cosmetic
0.99,4/10/2023,Electronics
0.41,1/5/2023,Restaurant
0.29,5/30/2023,Restaurant
1.79,6/3/2023,Cosmetic
0.83,6/18/2023,Restaurant
3.34,6/17/2023,Travel
1.45,9/3/2023,Market
1.00,4/12/2023,Clothing
2.13,8/6/2023,Clothing
14.13,7/31/2023,Travel
0.15,1/11/2023,Restaurant
0.45,1/19/2023,Restaurant
31.70,6/21/2023,Travel
0.56,3/14/2023,Clothing
8.77,5/17/2023,Travel
0.56,1/31/2023,Clothing
0.59,1/23/2023,Restaurant
12.06,4/9/2023,Travel
0.75,4/22/2023,Market
13.65,5/3/2023,Travel
1.35,8/20/2023,Cosmetic
0.33,9/26/2023,Restaurant
18.35,1/24/2023,Travel
2.45,4/15/2023,Market
1.21,3/20/2023,Clothing
7.77,2/8/2023,Electronics
15.76,5/17/2023,Travel
1.66,4/20/2023,Clothing
4.20,7/12/2023,Electronics
28.92,3/13/2023,Travel
0.23,10/4/2023,Market
2.16,2/21/2023,Cosmetic
23.82,8/26/2023,Travel
0.78,9/13/2023,Cosmetic
15.18,4/25/2023,Travel
0.33,6/25/2023,Restaurant
32.02,1/6/2023,Travel
16.61,9/13/2023,Travel
0.15,6/30/2023,Cosmetic
1.46,9/8/2023,Cosmetic
29.46,3/8/2023,Travel
1.64,1/17/2023,Clothing
1.78,4/30/2023,Cosmetic
2.01,1/24/2023,Cosmetic
5.59,4/4/2023,Market
33.84,9/10/2023,Travel
1.20,6/14/2023,Clothing
1.23,4/15/2023,Cosmetic
8.03,9/21/2023,Electronics
32.00,9/17/2023,Travel
0.47,8/18/2023,Cosmetic
3.85,1/31/2023,Market
5.77,9/15/2023,Electronics
5.95,1/11/2023,Electronics
1.79,5/19/2023,Cosmetic
0.44,10/9/2023,Restaurant
2.39,2/18/2023,Market
5.86,10/6/2023,Electronics
2.72,6/4/2023,Clothing
2.76,5/3/2023,Clothing
1.44,8/11/2023,Cosmetic
32.85,2/28/2023,Travel
1.39,5/9/2023,Cosmetic
2.75,4/19/2023,Clothing
2.87,6/5/2023,Market
7.96,8/5/2023,Electronics
5.17,3/17/2023,Market
5.31,7/18/2023,Market
9.61,6/13/2023,Electronics
3.05,6/8/2023,Clothing
0.79,9/9/2023,Restaurant
12.00,8/25/2023,Travel
0.36,5/3/2023,Restaurant
0.88,7/29/2023,Restaurant
9.55,7/23/2023,Travel
0.40,1/2/2023,Clothing
1.10,1/17/2023,Restaurant
1.28,5/15/2023,Cosmetic
3.14,3/20/2023,Clothing
0.80,2/19/2023,Cosmetic
2.15,2/12/2023,Market
4.79,9/14/2023,Market
7.42,6/3/2023,Electronics
8.10,9/29/2023,Travel
2.38,3/3/2023,Electronics
4.28,8/10/2023,Travel
0.72,4/13/2023,Restaurant
2.21,10/4/2023,Cosmetic
1.06,2/4/2023,Restaurant
1.90,4/8/2023,Travel
2.06,4/22/2023,Clothing
0.97,6/27/2023,Restaurant
4.73,7/8/2023,Market
0.95,8/21/2023,Restaurant
8.96,5/25/2023,Electronics
5.33,7/21/2023,Electronics
0.18,4/27/2023,Restaurant
6.58,8/3/2023,Travel
0.67,1/29/2023,Cosmetic
31.19,8/10/2023,Travel
8.91,7/14/2023,Travel
8.28,9/8/2023,Electronics
6.42,8/12/2023,Electronics
9.58,5/19/2023,Electronics
1.77,4/1/2023,Clothing
3.49,5/25/2023,Clothing
0.86,3/17/2023,Market
2.46,8/17/2023,Market
7.31,8/17/2023,Travel
10.77,1/1/2023,Electronics
5.90,1/6/2023,Electronics
0.69,5/26/2023,Cosmetic
2.28,5/6/2023,Clothing
1.29,3/28/2023,Cosmetic
1.83,9/30/2023,Cosmetic
1.50,2/25/2023,Cosmetic
1.65,4/12/2023,Cosmetic
0.84,1/10/2023,Cosmetic
0.72,3/31/2023,Clothing
9.43,8/13/2023,Electronics
0.93,9/16/2023,Restaurant
0.77,7/3/2023,Restaurant
1.86,6/28/2023,Cosmetic
5.31,8/6/2023,Market
1.04,6/26/2023,Market
1.10,4/18/2023,Clothing
1.80,1/25/2023,Cosmetic
9.21,2/14/2023,Electronics
4.20,4/8/2023,Travel
31.90,3/17/2023,Travel
1.14,9/23/2023,Clothing
0.64,2/13/2023,Restaurant
1.84,10/11/2023,Cosmetic
2.84,10/10/2023,Market
0.54,4/19/2023,Cosmetic
0.17,7/20/2023,Restaurant
2.05,8/16/2023,Cosmetic
0.41,3/30/2023,Restaurant
2.37,5/4/2023,Clothing
2.30,1/26/2023,Clothing
3.37,2/23/2023,Clothing
2.04,1/18/2023,Clothing
0.59,5/6/2023,Market
0.68,3/20/2023,Restaurant
0.47,9/24/2023,Cosmetic
11.76,6/22/2023,Electronics
1.43,6/19/2023,Cosmetic
2.31,7/16/2023,Cosmetic
11.41,8/30/2023,Electronics
1.68,2/16/2023,Cosmetic
15.41,2/27/2023,Travel
0.15,8/13/2023,Restaurant
10.50,1/4/2023,Electronics
0.51,5/7/2023,Restaurant
1.17,6/23/2023,Cosmetic
6.40,3/19/2023,Travel
2.08,2/10/2023,Clothing
2.16,3/20/2023,Market
3.10,5/18/2023,Clothing
1.63,1/9/2023,Cosmetic
1.92,2/11/2023,Clothing
0.42,2/1/2023,Clothing
1.63,7/15/2023,Market
4.10,8/13/2023,Electronics
0.62,2/26/2023,Electronics
0.79,9/3/2023,Cosmetic
4.69,8/7/2023,Electronics
2.08,6/13/2023,Electronics
1.11,4/26/2023,Restaurant
0.77,1/12/2023,Restaurant
3.38,2/26/2023,Market
3.33,5/17/2023,Market
23.59,3/2/2023,Travel
1.09,8/5/2023,Cosmetic
1.21,4/21/2023,Clothing
31.29,5/25/2023,Travel
14.58,7/29/2023,Travel
1.15,7/21/2023,Restaurant
1.62,3/27/2023,Market
1.73,8/7/2023,Cosmetic
32.31,1/12/2023,Travel
29.11,4/1/2023,Travel
2.16,9/8/2023,Market
1.72,8/17/2023,Cosmetic
1.21,9/16/2023,Cosmetic
1.90,5/25/2023,Electronics
1.48,2/19/2023,Market
2.02,8/4/2023,Electronics
30.98,1/11/2023,Travel
0.34,5/25/2023,Restaurant
0.14,4/30/2023,Restaurant
3.12,2/22/2023,Electronics
28.42,9/5/2023,Travel
0.31,3/8/2023,Cosmetic
3.90,1/1/2023,Market
1.03,6/4/2023,Restaurant
7.02,2/28/2023,Electronics
0.88,6/30/2023,Restaurant
0.73,6/16/2023,Cosmetic
0.64,5/11/2023,Restaurant
1.57,5/29/2023,Clothing
1.19,9/8/2023,Cosmetic
5.64,4/7/2023,Electronics
2.19,6/3/2023,Cosmetic
0.63,9/29/2023,Clothing
0.67,7/5/2023,Cosmetic
0.59,6/24/2023,Electronics
0.83,1/5/2023,Restaurant
15.88,5/5/2023,Travel
2.84,8/14/2023,Clothing
5.41,1/10/2023,Market
0.19,8/11/2023,Restaurant
14.68,4/25/2023,Travel
4.96,9/30/2023,Market
11.15,3/28/2023,Electronics
8.80,3/11/2023,Travel
7.12,9/25/2023,Electronics
22.61,8/28/2023,Travel
0.13,2/15/2023,Restaurant
10.03,1/28/2023,Travel
4.69,2/3/2023,Market
30.89,10/11/2023,Travel
7.12,3/5/2023,Travel
0.61,9/8/2023,Restaurant
4.16,9/18/2023,Market
4.30,1/27/2023,Market
2.85,4/23/2023,Clothing
12.10,5/30/2023,Travel
1.16,2/15/2023,Restaurant
1.03,7/25/2023,Clothing
1.70,3/11/2023,Clothing
5.89,6/18/2023,Electronics
1.75,5/17/2023,Cosmetic
7.34,1/30/2023,Electronics
31.61,4/9/2023,Travel
14.54,5/24/2023,Travel
3.24,10/1/2023,Market
0.94,3/3/2023,Restaurant
1.09,10/4/2023,Electronics
16.20,3/17/2023,Travel
1.41,1/3/2023,Cosmetic
0.49,9/26/2023,Cosmetic
20.09,4/10/2023,Travel
1.41,7/4/2023,Cosmetic
7.97,3/18/2023,Electronics
2.52,2/21/2023,Electronics
3.01,2/12/2023,Clothing
0.63,9/5/2023,Restaurant
0.16,3/28/2023,Restaurant
3.03,2/17/2023,Clothing
3.60,10/10/2023,Electronics
0.13,1/30/2023,Restaurant
1.42,8/10/2023,Clothing
15.15,7/31/2023,Travel
32.56,8/9/2023,Travel
6.28,8/6/2023,Electronics
1.11,10/14/2023,Clothing
0.47,5/8/2023,Restaurant
0.34,7/5/2023,Market
1.25,7/21/2023,Cosmetic
32.99,1/23/2023,Travel
0.76,6/22/2023,Restaurant
1.59,8/27/2023,Market
2.54,6/25/2023,Clothing
0.96,9/26/2023,Restaurant
1.88,9/13/2023,Electronics
0.23,10/9/2023,Restaurant
1.90,10/11/2023,Cosmetic
1.20,7/25/2023,Cosmetic
1.36,3/19/2023,Cosmetic
0.47,1/30/2023,Restaurant
1.32,7/12/2023,Cosmetic
2.42,4/3/2023,Market
1.30,10/4/2023,Cosmetic
1.66,2/25/2023,Cosmetic
3.01,2/19/2023,Electronics
2.64,5/18/2023,Electronics
3.22,9/7/2023,Market
2.40,1/14/2023,Clothing
0.83,4/19/2023,Cosmetic
9.31,7/10/2023,Travel
1.23,9/23/2023,Travel
5.72,6/12/2023,Electronics
3.41,9/27/2023,Clothing
1.38,1/31/2023,Electronics
3.41,1/30/2023,Clothing
1.38,2/28/2023,Cosmetic
0.75,7/28/2023,Restaurant
1.06,3/10/2023,Cosmetic
0.57,1/23/2023,Restaurant
3.18,1/12/2023,Clothing
7.36,4/29/2023,Electronics
3.65,8/13/2023,Electronics
3.10,9/23/2023,Clothing
3.10,7/24/2023,Market
31.48,7/16/2023,Travel
30.51,8/10/2023,Travel
0.67,1/19/2023,Market
0.32,1/23/2023,Clothing
9.36,10/3/2023,Travel
4.40,1/1/2023,Market
3.79,8/6/2023,Market
1.82,3/29/2023,Electronics
3.00,9/22/2023,Clothing
9.11,9/28/2023,Travel
1.94,5/30/2023,Market
1.64,3/25/2023,Cosmetic
1.44,6/9/2023,Cosmetic
0.37,1/14/2023,Cosmetic
0.70,2/12/2023,Cosmetic
20.87,3/16/2023,Travel
3.06,5/28/2023,Clothing
1.12,4/2/2023,Market
1.16,10/11/2023,Restaurant
0.23,5/8/2023,Cosmetic
1.37,7/25/2023,Cosmetic
20.43,4/22/2023,Travel
3.24,5/5/2023,Clothing
5.87,6/15/2023,Market
0.61,7/26/2023,Restaurant
0.95,1/16/2023,Restaurant
0.46,10/2/2023,Cosmetic
0.81,9/3/2023,Cosmetic
0.25,10/1/2023,Restaurant
9.23,3/6/2023,Electronics
1.78,4/14/2023,Clothing
0.72,8/11/2023,Cosmetic
0.78,9/2/2023,Cosmetic
26.38,7/30/2023,Travel
2.12,2/3/2023,Clothing
0.29,2/23/2023,Clothing
23.01,9/3/2023,Travel
2.22,1/17/2023,Cosmetic
3.01,7/7/2023,Market
0.19,1/19/2023,Restaurant
1.00,2/12/2023,Market
0.23,6/10/2023,Cosmetic
0.60,3/7/2023,Clothing
2.20,4/11/2023,Market
0.85,1/30/2023,Electronics
3.13,10/5/2023,Market
0.63,4/9/2023,Restaurant
10.63,6/4/2023,Electronics
5.39,9/23/2023,Electronics
30.52,9/15/2023,Travel
0.94,4/13/2023,Cosmetic
1.11,7/20/2023,Restaurant
3.26,1/31/2023,Electronics
0.34,4/15/2023,Clothing
15.29,7/1/2023,Travel
7.62,3/21/2023,Travel
0.76,3/2/2023,Clothing
29.97,2/18/2023,Travel
1.02,4/25/2023,Clothing
3.32,3/1/2023,Clothing
1.45,1/29/2023,Cosmetic
2.36,7/30/2023,Electronics
8.36,10/4/2023,Electronics
1.01,1/31/2023,Market
2.77,1/14/2023,Market
1.54,2/26/2023,Clothing
4.30,3/19/2023,Electronics
15.88,1/1/2023,Travel
5.10,5/13/2023,Market
2.03,6/6/2023,Travel
32.44,1/4/2023,Travel
0.66,8/3/2023,Cosmetic
1.57,8/14/2023,Clothing
27.58,7/20/2023,Travel
3.05,4/8/2023,Clothing
31.85,7/12/2023,Travel
2.53,5/12/2023,Clothing
3.48,7/11/2023,Electronics
15.39,9/6/2023,Travel
0.74,4/22/2023,Market
1.17,4/15/2023,Electronics
0.83,7/16/2023,Restaurant
4.46,6/11/2023,Market
0.87,4/24/2023,Restaurant
0.77,10/1/2023,Cosmetic
1.07,10/3/2023,Clothing
0.57,5/25/2023,Clothing
0.47,7/20/2023,Market
2.02,4/13/2023,Cosmetic
2.72,5/26/2023,Market
0.26,9/13/2023,Restaurant
1.34,4/26/2023,Cosmetic
1.21,8/15/2023,Cosmetic
0.42,8/9/2023,Clothing
1.21,5/23/2023,Clothing
3.42,2/21/2023,Clothing
3.16,4/16/2023,Market
0.44,4/17/2023,Market
0.45,3/19/2023,Clothing
0.24,6/6/2023,Restaurant
5.65,1/31/2023,Travel
2.40,9/23/2023,Market
0.39,1/17/2023,Clothing
7.96,7/31/2023,Electronics
2.53,5/3/2023,Clothing
0.28,10/8/2023,Clothing
7.60,8/5/2023,Electronics
4.53,2/12/2023,Market
0.19,3/24/2023,Cosmetic
0.35,7/17/2023,Restaurant
3.18,5/15/2023,Clothing
2.48,6/14/2023,Market
30.69,8/4/2023,Travel
1.61,9/8/2023,Cosmetic
1.80,1/23/2023,Clothing
2.85,5/27/2023,Clothing
1.00,3/20/2023,Market
0.76,1/22/2023,Clothing
0.15,5/9/2023,Restaurant
3.22,8/17/2023,Travel
0.15,9/3/2023,Restaurant
0.98,8/20/2023,Market
1.89,1/7/2023,Market
1.57,7/16/2023,Clothing
0.53,1/6/2023,Restaurant
9.24,8/24/2023,Electronics
0.16,5/23/2023,Cosmetic
1.71,4/4/2023,Travel
20.04,3/11/2023,Travel
5.62,1/7/2023,Market
1.02,5/24/2023,Restaurant
3.32,3/9/2023,Clothing
0.99,6/27/2023,Cosmetic
1.21,9/10/2023,Travel
25.71,8/28/2023,Travel
3.02,2/28/2023,Clothing
2.23,5/23/2023,Clothing
10.95,1/9/2023,Electronics
9.08,3/26/2023,Travel
2.48,5/15/2023,Clothing
1.89,1/9/2023,Clothing
1.40,8/28/2023,Cosmetic
0.17,4/14/2023,Cosmetic
0.77,8/17/2023,Restaurant
0.94,7/10/2023,Restaurant
2.20,7/18/2023,Cosmetic
0.59,7/7/2023,Restaurant
0.67,8/30/2023,Restaurant
1.57,2/7/2023,Cosmetic
5.32,6/12/2023,Market
1.89,10/6/2023,Cosmetic
10.38,1/7/2023,Travel
0.58,2/23/2023,Cosmetic
1.00,2/22/2023,Clothing
8.15,6/24/2023,Electronics
0.82,5/18/2023,Cosmetic
3.25,4/3/2023,Clothing
2.25,6/5/2023,Cosmetic
12.26,6/12/2023,Travel
0.85,9/30/2023,Clothing
3.14,7/9/2023,Clothing
4.74,9/15/2023,Market
21.05,3/26/2023,Travel
0.27,6/29/2023,Cosmetic
2.86,1/25/2023,Market
3.41,1/24/2023,Electronics
20.54,7/4/2023,Travel
0.83,3/1/2023,Cosmetic
0.93,4/3/2023,Market
1.87,5/22/2023,Cosmetic
2.39,10/1/2023,Clothing
0.95,5/22/2023,Restaurant
4.81,4/3/2023,Electronics
3.26,5/28/2023,Clothing
0.15,10/7/2023,Restaurant
2.49,6/28/2023,Clothing
0.95,6/28/2023,Restaurant
0.84,7/8/2023,Restaurant
0.81,3/11/2023,Restaurant
1.82,8/25/2023,Clothing
1.60,6/2/2023,Cosmetic
0.91,1/23/2023,Restaurant
9.28,9/28/2023,Electronics
0.36,7/3/2023,Clothing
1.10,6/26/2023,Clothing
0.49,1/21/2023,Restaurant
0.46,9/27/2023,Restaurant
6.38,7/5/2023,Travel
0.57,7/20/2023,Restaurant
5.84,3/4/2023,Market
0.72,3/17/2023,Electronics
10.83,5/20/2023,Electronics
0.12,7/22/2023,Restaurant
1.80,2/15/2023,Market
2.16,1/1/2023,Clothing
2.81,3/13/2023,Electronics
2.94,2/1/2023,Clothing
0.99,7/2/2023,Restaurant
14.87,6/7/2023,Travel
0.49,3/31/2023,Clothing
2.83,7/29/2023,Clothing
33.73,6/14/2023,Travel
3.04,5/1/2023,Market
15.18,7/17/2023,Travel
27.58,1/22/2023,Travel
3.51,4/16/2023,Market
8.81,6/17/2023,Electronics
0.54,8/4/2023,Restaurant
4.94,8/5/2023,Market
1.20,8/29/2023,Electronics
2.90,9/12/2023,Clothing
4.64,4/15/2023,Market
1.34,9/26/2023,Cosmetic
0.46,8/28/2023,Restaurant
8.42,4/12/2023,Electronics
5.84,1/12/2023,Market
4.41,8/18/2023,Electronics
5.42,4/25/2023,Travel
25.36,4/18/2023,Travel
3.73,9/12/2023,Market
0.16,7/4/2023,Restaurant
1.04,10/10/2023,Cosmetic
3.11,1/15/2023,Clothing
33.91,5/28/2023,Travel
13.20,5/4/2023,Travel
4.19,9/14/2023,Electronics
1.93,8/14/2023,Clothing
7.80,8/22/2023,Electronics
9.00,9/1/2023,Electronics
5.05,7/18/2023,Market
1.90,3/16/2023,Market
0.41,9/4/2023,Cosmetic
1.36,2/23/2023,Electronics
1.83,1/2/2023,Clothing
2.15,7/4/2023,Cosmetic
1.68,1/27/2023,Cosmetic
0.33,7/11/2023,Restaurant
